n_threads succesfull_adds failed_adds succesfull_contains failed_contains successfull_removes failed_removes total_operations max_thread_time throughput
1 24918.0 6105.666666666667 3081.6666666666665 12384.333333333334 6111.0 24515.0 77115.66666666667 0.988500197728475 78012.7984231816
2 24731.333333333332 7748.0 3938.6666666666665 12232.0 7762.666666666667 24413.0 80825.66666666667 0.9933045109113058 81370.48183996796
4 25893.0 9103.333333333334 4668.666666666667 12646.666666666666 9023.0 25471.666666666668 86806.33333333333 0.9996408422787985 86837.5216997418
8 25712.666666666668 10063.0 4992.666666666667 12849.0 9913.333333333334 25673.0 89203.66666666667 1.0002739628156025 89179.23487238775
10 25056.0 8258.666666666666 3995.0 12460.333333333334 8250.0 24814.0 82834.0 1.0008788108825684 82761.26849659004
20 28398.666666666668 14102.333333333334 7020.666666666667 14251.333333333334 14127.333333333334 28415.333333333332 106315.66666666667 1.0021495421727498 106087.6268387698
40 29124.666666666668 16238.333333333334 7960.0 14588.333333333334 16210.333333333334 28882.666666666668 113004.33333333333 1.0061245759328206 112316.44275119931
64 21191.666666666668 8089.0 4075.3333333333335 10463.666666666666 8148.333333333333 21204.333333333332 73172.33333333333 1.0086615085601807 72543.9929176871
