n_threads succesfull_adds failed_adds succesfull_contains failed_contains successfull_removes failed_removes total_operations max_thread_time throughput
1 53216.333333333336 22068.666666666668 11048.666666666666 26649.333333333332 21814.0 53261.666666666664 188058.66666666666 4.970360279083252 37836.02316678596
2 58910.333333333336 28324.666666666668 14317.666666666666 29303.0 28739.0 58263.333333333336 217858.0 4.9806809425354 43740.60545406068
4 59621.666666666664 30773.0 15555.333333333334 29630.666666666668 30909.666666666668 59351.333333333336 225841.66666666666 4.999855200449626 45169.6414420876
8 66538.33333333333 38585.666666666664 19413.0 33146.333333333336 38442.666666666664 66558.66666666667 262684.6666666667 5.0002617835998535 52534.182815834756
10 66750.66666666667 37826.333333333336 18942.0 33228.0 37774.666666666664 66349.66666666667 260871.33333333334 5.0012892087300616 52160.81743042698
