n_threads succesfull_adds failed_adds succesfull_contains failed_contains successfull_removes failed_removes total_operations max_thread_time throughput
1 7799.666666666667 1120.0 610.0 3873.3333333333335 1147.6666666666667 7659.666666666667 22210.333333333332 4.996390342712402 4445.275851140957
2 5010.0 1243.6666666666667 557.0 2571.0 1196.0 5048.0 15625.666666666666 4.9989752769470215 3125.773943857067
4 7655.333333333333 1438.3333333333333 701.3333333333334 3843.0 1392.0 7600.333333333333 22630.333333333332 4.999679406483968 4526.356890800754
8 10107.0 2541.6666666666665 1237.6666666666667 5052.666666666667 2378.3333333333335 10184.0 31501.333333333332 5.004057725270589 6295.157862438514
10 11675.333333333334 3151.0 1610.3333333333333 5804.0 3090.0 11602.0 36932.666666666664 5.002748966217041 7382.474498734296
