n_threads succesfull_adds failed_adds succesfull_contains failed_contains successfull_removes failed_removes total_operations max_thread_time throughput
1 23674.333333333332 5628.333333333333 2832.3333333333335 11789.0 5645.666666666667 23239.0 72808.66666666667 0.9891616106033325 73606.44194658699
2 23805.666666666668 7399.333333333333 3783.3333333333335 11764.333333333334 7468.666666666667 23444.666666666668 77666.0 0.9940011501312256 78134.71844549348
4 25279.0 8214.666666666666 4178.333333333333 12609.666666666666 8195.0 25209.0 83685.66666666667 0.9999450842539469 83690.26257987363
8 25495.333333333332 9921.0 4875.666666666667 12853.0 9752.666666666666 25798.0 88695.66666666667 1.0002257823944092 88675.64526715247
10 22452.0 6654.666666666667 3287.6666666666665 11310.666666666666 6673.333333333333 22654.666666666668 73033.0 1.001029411951701 72957.8962696091
