n_threads succesfull_adds failed_adds succesfull_contains failed_contains successfull_removes failed_removes total_operations max_thread_time throughput
1 2027.6666666666667 219.33333333333334 115.33333333333333 1020.0 243.33333333333334 1955.6666666666667 5581.333333333333 0.9990268150965372 5586.7702938424145
2 1555.0 354.6666666666667 154.33333333333334 805.6666666666666 328.6666666666667 1595.0 4793.333333333333 1.0000746647516887 4792.975467010238
4 2430.0 328.0 160.33333333333334 1213.0 319.3333333333333 2443.3333333333335 6894.0 1.001319448153178 6884.915710680756
8 3443.3333333333335 569.0 261.0 1726.3333333333333 522.0 3434.6666666666665 9956.333333333334 1.0013656218846638 9942.75528911666
10 4038.6666666666665 725.6666666666666 365.0 2006.0 686.0 4013.6666666666665 11835.0 1.0027683973312378 11802.326470895576
