n_threads succesfull_adds failed_adds succesfull_contains failed_contains successfull_removes failed_removes total_operations max_thread_time throughput
1 534.0 70.0 468.0 4414.0 56.0 587.0 6129.0 0.9992413520812988 6133.653283297408
2 193.0 113.0 819.0 1487.0 117.0 193.0 2922.0 1.0002087354660034 2921.3902022547545
4 250.0 63.0 547.0 1979.0 80.0 239.0 3158.0 1.0020637512207031 3151.4960960846643
8 457.0 88.0 695.0 3577.0 99.0 434.0 5350.0 1.0020272731781006 5339.176031637903
10 548.0 92.0 721.0 4173.0 87.0 523.0 6144.0 1.001759648323059 6133.207711335775
20 1009.0 152.0 1095.0 7853.0 135.0 1027.0 11271.0 1.0029771327972412 11237.54433819032
40 1420.0 194.0 1443.0 11023.0 168.0 1443.0 15691.0 1.0040900707244873 15627.084120728707
64 1354.0 178.0 1294.0 10348.0 160.0 1366.0 14700.0 1.0040807723999023 14640.256445569428
