n_threads succesfull_adds failed_adds succesfull_contains failed_contains successfull_removes failed_removes total_operations max_thread_time throughput
1 10005.0 1631.0 12947.0 80408.0 1604.0 10101.0 116696.0 0.9857521653175354 118382.6970975096
2 8820.0 1896.0 15234.0 71710.0 1901.0 8992.0 108553.0 0.9929551482200623 109323.16549704026
4 9422.0 1575.0 12495.0 76593.0 1552.0 9551.0 111188.0 0.9997168183326721 111219.49532212468
8 8699.0 1401.0 10848.0 69587.0 1378.0 8554.0 100467.0 1.0001587867736816 100451.0497019049
10 8584.0 1332.0 10485.0 68497.0 1358.0 8553.0 98809.0 1.0002403259277344 98785.25934090241
20 7878.0 1173.0 9428.0 63008.0 1189.0 7832.0 90508.0 1.0032774209976196 90212.33619510982
40 7195.0 1323.0 10311.0 57565.0 1302.0 7287.0 84983.0 1.0046427249908447 84590.27063653345
64 6603.0 1256.0 9899.0 52470.0 1292.0 6626.0 78146.0 1.003872275352478 77844.5644119034
